bin,SL,DL,SN,DN
0,0,0,0,0  
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,1,0
6,0,0,2,0
7,0,0,2,0
8,0,0,3,0
9,1,0,3,0
10,0,0,7,0
11,5,0,4,0
12,2,0,10,0
13,5,0,8,0
14,13,0,12,0
15,21,0,21,0
16,35,0,35,0
17,37,0,34,0
18,40,0,40,0
19,36,0,39,0
20,60,0,63,0
21,49,0,58,0
22,60,0,55,0
23,59,0,55,0
24,55,0,61,0
25,58,0,57,0
26,72,0,73,0
27,73,0,68,0
28,61,0,70,0
29,72,0,63,0
30,70,0,70,0
31,97,0,99,0
32,86,0,88,0
33,83,0,89,0
34,104,0,106,0
35,107,0,103,0
36,102,0,106,0
37,113,0,110,0
38,126,0,126,0
39,136,0,139,0
40,138,0,144,0
41,152,0,141,0
42,157,0,167,0
43,176,0,173,0
44,187,0,209,0
45,210,0,210,0
46,217,0,217,0
47,253,0,242,0
48,285,0,282,0
49,309,0,318,0
50,294,0,304,0
51,319,0,314,0
52,326,0,325,0
53,355,0,359,0
54,406,0,408,0
55,430,0,420,0
56,421,0,445,0
57,442,0,444,0
58,505,0,486,0
59,461,0,452,0
60,530,0,544,0
61,570,0,569,0
62,562,0,555,0
63,599,0,608,0
64,643,0,645,0
65,718,0,716,0
66,757,0,746,0
67,801,0,810,0
68,848,0,839,0
69,887,0,878,0
70,1002,0,1005,0
71,1012,0,1025,0
72,1000,0,1008,0
73,1039,0,1016,0
74,1149,0,1160,0
75,1209,0,1200,0
76,1325,0,1339,0
77,1307,0,1306,0
78,1472,0,1475,0
79,1440,0,1444,0
80,1519,0,1511,0
81,1697,0,1679,0
82,1748,0,1756,0
83,1774,0,1776,0
84,1803,0,1806,0
85,1869,0,1861,0
86,1951,0,1949,0
87,1949,0,1965,0
88,2078,0,2079,0
89,2107,0,2099,0
90,2178,0,2177,0
91,2199,0,2199,0
92,2171,0,2170,0
93,2261,0,2257,0
94,2238,0,2245,0
95,2317,0,2325,0
96,2398,0,2378,0
97,2509,0,2496,0
98,2544,0,2561,0
99,2622,0,2618,0
100,2597,0,2602,0
101,2662,0,2669,0
102,2753,0,2748,0
103,2785,0,2789,0
104,2855,0,2860,0
105,2821,0,2818,0
106,2955,0,2940,0
107,3000,0,3008,0
108,3101,0,3097,0
109,3024,0,3019,0
110,3084,0,3085,0
111,3266,0,3281,0
112,3351,0,3346,0
113,3357,0,3362,0
114,3405,0,3410,0
115,3587,0,3594,0
116,3632,0,3624,0
117,3735,0,3757,0
118,3826,0,3813,0
119,3861,0,3854,0
120,3976,0,3983,0
121,4080,0,4068,0
122,4417,0,4430,0
123,4405,0,4406,0
124,4430,0,4426,0
125,4489,0,4502,0
126,4717,0,4713,1
127,4700,0,4704,0
128,4844,0,4832,1
129,5020,0,5027,0
130,5154,0,5158,0
131,5154,0,5156,0
132,5257,0,5279,0
133,5413,0,5402,0
134,5542,0,5523,0
135,5667,0,5669,0
136,5580,0,5574,1
137,5820,0,5822,0
138,5734,0,5740,0
139,5863,0,5861,1
140,5762,0,5772,2
141,6038,0,6035,3
142,6073,0,6081,1
143,6310,0,6321,3
144,6305,0,6285,3
145,6372,0,6378,4
146,6455,0,6473,2
147,6666,0,6654,3
148,6708,0,6700,4
149,6854,0,6855,3
150,6770,0,6753,4
151,6901,0,6923,3
152,7071,0,7096,3
153,7187,0,7161,8
154,7196,0,7220,8
155,7228,0,7204,12
156,7356,0,7359,10
157,7457,0,7478,7
158,7469,0,7454,4
159,7530,0,7533,5
160,7497,0,7489,7
161,7659,0,7688,9
162,7579,0,7571,11
163,7706,0,7707,11
164,7504,0,7520,11
165,7549,0,7542,11
166,7802,0,7817,11
167,7642,0,7623,11
168,7699,0,7691,14
169,7778,0,7779,13
170,7610,0,7629,11
171,7604,0,7603,10
172,7605,0,7617,15
173,7271,0,7300,18
174,7287,0,7254,19
175,7317,0,7318,15
176,7291,0,7306,15
177,7106,0,7092,17
178,6872,0,6882,13
179,6892,0,6878,22
180,6723,0,6735,21
181,6725,0,6751,22
182,6698,0,6669,13
183,6672,0,6658,19
184,6517,0,6522,24
185,6296,0,6303,19
186,6107,0,6098,24
187,6040,0,6044,26
188,6103,0,6129,33
189,6006,0,6010,27
190,5931,0,5912,27
191,5819,0,5833,44
192,5712,0,5726,39
193,5630,0,5609,45
194,5561,0,5556,45
195,5589,0,5584,38
196,5483,0,5488,49
197,5396,0,5397,47
198,5100,0,5107,44
199,5301,0,5320,40
200,5188,0,5150,54
201,5029,0,5062,56
202,4985,0,4959,87
203,4804,0,4801,63
204,4889,0,4908,67
205,4640,0,4628,78
206,4727,0,4755,94
207,4616,0,4606,96
208,4545,0,4532,99
209,4499,0,4505,92
210,4460,0,4459,94
211,4459,0,4442,10
212,4345,0,4347,12
213,4200,0,4191,13
214,4281,0,4288,15
215,4284,0,4288,13
216,4049,0,4050,16
217,4237,0,4227,17
218,4183,0,4186,20
219,4218,0,4232,23
220,4116,0,4115,27
221,4165,0,4170,31
222,4115,0,4092,29
223,4067,0,4072,34
224,3980,0,3971,35
225,4075,0,4093,42
226,3994,0,4017,45
227,3947,0,3911,54
228,4094,0,4108,66
229,3879,0,3892,69
230,3930,0,3910,79
231,3849,0,3852,91
232,3958,0,3975,10
233,3840,0,3825,13
234,3843,0,3857,14
235,3939,0,3920,17
236,3761,0,3765,21
237,3712,0,3710,25
238,3596,0,3636,29
239,3665,0,3646,36
240,3665,0,3658,45
241,3674,0,3669,52
242,3636,0,3642,65
243,3485,0,3498,81
244,3535,0,3531,10
245,3511,0,3502,12
246,3366,0,3361,16
247,3379,0,3384,20
248,3437,0,3421,25
249,3258,0,3275,33
250,3297,0,3290,42
251,3259,0,3261,52
252,3284,0,3300,64
253,3180,0,3148,77
254,3191,0,3220,89
255,233678,590487,3116,93
256,0,89378,3131,89
257,0,78228,3191,78
258,0,65969,3081,65
259,0,53609,3035,53
260,0,42690,3117,42
261,0,33694,3098,33
262,0,26510,3045,26
263,0,20647,2994,20
264,0,16378,3109,16
265,0,12693,2924,12
266,0,10515,2964,10
267,0,8217,2938,82
268,0,6499,2876,65
269,0,5456,3070,54
270,0,4340,2985,43
271,0,3590,2989,35
272,0,3048,2841,30
273,0,2494,2926,25
274,0,2043,2892,20
275,0,1769,2885,17
276,0,1545,2790,15
277,0,1293,2707,12
278,0,1039,2767,10
279,0,963,2679,98
280,0,791,2600,80
281,0,703,2570,71
282,0,579,2539,57
283,0,497,2696,50
284,0,495,2550,50
285,0,429,2546,43
286,0,364,2448,36
287,0,320,2313,32
288,0,336,2351,32
289,0,270,2282,29
290,0,229,2258,23
291,0,230,2268,23
292,0,235,2190,23
293,0,214,2121,21
294,0,146,2025,15
295,0,153,2021,16
296,0,125,1907,12
297,0,146,1990,14
298,0,119,1858,11
299,0,109,1789,11
300,0,93,1740,90
301,0,106,1693,10
302,0,85,1626,86
303,0,95,1667,10
304,0,67,1613,70
305,0,56,1619,54
306,0,65,1509,68
307,0,50,1449,49
308,0,66,1453,59
309,0,43,1415,46
310,0,43,1483,42
311,0,40,1381,45
312,0,41,1389,42
313,0,32,1299,32
314,0,39,1365,37
315,0,25,1272,27
316,0,31,1339,34
317,0,33,1307,30
318,0,24,1358,21
319,0,26,1274,27
320,0,21,1334,23
321,0,23,1249,25
322,0,21,1353,22
323,0,18,1317,18
324,0,24,1331,20
325,0,19,1300,23
326,0,17,1290,14
327,0,9,1353,11
328,0,12,1412,14
329,0,11,1332,9
330,0,6,1415,8
331,0,12,1399,11
332,0,12,1343,11
333,0,11,1426,9
334,0,8,1478,9
335,0,11,1327,11
336,0,13,1404,13
337,0,5,1367,6
338,0,5,1406,8
339,0,7,1384,7
340,0,6,1497,4
341,0,10,1451,10
342,0,10,1464,9
343,0,10,1400,6
344,0,3,1458,5
345,0,5,1489,9
346,0,6,1538,3
347,0,2,1596,3
348,0,4,1673,7
349,0,1,1668,2
350,0,2,1704,2
351,0,3,1801,1
352,0,3,1840,3
353,0,2,1833,3
354,0,3,1979,2
355,0,0,1957,1
356,0,0,1932,1
357,0,3,1993,1
358,0,1,2000,2
359,0,0,1948,1
360,0,1,2003,1
361,0,0,1907,0
362,0,1,1922,1
363,0,0,2009,0
364,0,0,1828,0
365,0,1,1781,1
366,0,0,1552,0
367,0,0,1519,0
368,0,1,1377,1
369,0,0,1304,0
370,0,0,1150,0
371,0,0,903,0
372,0,0,846,0
373,0,0,682,0
374,0,0,524,0
