generation,best_fitness,avg_fitness,worst_fitness,best_individual,best_feature_count,best_features
0,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
1,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
2,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
3,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
4,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
5,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
6,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
7,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
8,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
9,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
